reviewId,userName,score,at,content,replyContent
b855025a-e2bf-4b14-a8b7-c9f8ddb688a0,A Google user,1,2025-10-14 08:20:52,😾,
343cdacf-faf6-4ee1-ae9a-c5bde15a4522,A Google user,1,2025-10-12 19:35:16,too slow performance,
265230db-7c8e-4377-a6db-9205b5924293,A Google user,1,2025-10-12 08:07:45,yo worldlink vannako name ko matra ho mula service chai 0 xa ani kura matra thulo ho yeni haru ko service dina ne audina yesto lai ta rakhnu nai hunna k kasai la pani we faced lost of problem and they did not give any service in purpose time so guys you can also get an regret so don't take any risk to join the world link 😡😡😡,
75dad312-39da-44c9-93b2-922f606e0637,A Google user,5,2025-10-11 13:12:56,best ui app and easy to use for beginner also,
81cd3aea-cbe9-481d-90f8-bb5db41ac560,A Google user,5,2025-10-10 19:21:16,NICE WIFI SPEED THANKS FOR YOUR COMPENY 👍👍👍👍,
f01f2282-fe5b-4803-9e8b-79db6c36af1c,A Google user,5,2025-10-10 18:22:38,good service,
c80121b3-6c2c-46c9-b94c-e65081e6eae0,A Google user,5,2025-10-10 15:12:01,good,
488e586a-3d16-40ed-85db-9c9979e58d7a,A Google user,5,2025-10-10 10:49:43,binodkumarpal,
8aa3e4c9-c9a8-4e01-b9df-ff830e404574,A Google user,1,2025-10-10 08:28:50,stupid,
6a7a9f1a-1a82-400b-9e34-1a5b8d3b9201,A Google user,1,2025-10-09 22:29:27,i can't report in the app when i get in trouble.,
f936f096-f423-4eaf-b949-866280c8df05,A Google user,1,2025-10-09 21:17:10,worst app,
6c7c2096-0dd3-4049-8980-4277ac3459d5,A Google user,5,2025-10-09 20:58:35,🗿🗿🗿🗿🗿,
fb3603b5-9c57-4980-8378-26dacf23c396,A Google user,5,2025-10-09 15:37:39,the outstanding wifi,
b58c539f-1ec2-4e89-8625-8d3392931ce1,A Google user,5,2025-10-08 21:40:32,Worldlink is the best to connect with...😊,
8295fa3d-9f24-42a5-b1b7-94e55e810336,A Google user,5,2025-10-08 17:06:59,Nice App,
54712065-f428-4be7-ae37-2f297dcbf9ca,A Google user,5,2025-10-08 13:10:05,Good service,
4243fa47-fd87-47a7-8f61-4870bd6e0ecf,A Google user,2,2025-10-07 20:06:27,improve the quality app interface,
fa17ef74-57c7-4409-acef-9af98e4758a0,A Google user,1,2025-10-07 13:48:19,I couldn't even sign up also . it's doesn't make any sense fix your app or delete your app.,
ed740ce2-7f3a-4c96-8400-f4488d506b79,A Google user,4,2025-10-07 07:58:51,In my oppo a5s mobile version's device latest my world link app version is not running.... I suggested solve this problem quickly,
1c845888-75fa-4230-9f74-34f1164b04ea,A Google user,1,2025-10-06 23:04:13,The Mkc App Machiken Jahile Pani Game Khelda Ping 299 999+ Hunxa Don't Use World Link Pl 🔗😥,
ab658cf5-0f73-431e-9578-c24cf1003f1f,A Google user,5,2025-10-05 19:37:21,Best,
25620457-2ce6-414d-b4a8-fd85711f1567,A Google user,5,2025-10-05 15:53:25,dubai,
f1b02315-e342-42df-b1a2-d1d99366c368,A Google user,4,2025-10-05 10:57:47,this app is very good for changing password,
3e77a948-b4f1-4466-bb2d-43aee1847039,A Google user,5,2025-10-05 06:33:26,best,
e648cbf4-ce49-4ab3-891c-26c00c7146c6,A Google user,4,2025-10-03 22:08:45,very good 😊 I am so happy 😊,
54edb2e4-ef5f-4e8c-b918-32e093b135f6,A Google user,1,2025-10-03 18:20:25,"The worst app device filtering doesn't work with one click. If you look at the connected device it appears to be connected but if the device is not connected then there is a glitch in the app, the app developer should look into the issues.",
37ed5fae-9989-41db-81d0-5e57d9462494,A Google user,1,2025-10-03 12:13:14,mro ma connected device nai dhekaudaina muji renewal payment gar vanera tw call gareko gare garxas tw net chai k ho gu jsto chaldai nachalne (250mbbs mro gula muji ),
b8d8bc9b-37c7-4957-b539-92e35e7f6319,A Google user,1,2025-10-02 20:42:26,your app is very slow and lacking,
e78446c3-04a7-4779-9ac8-415f2d88a55c,A Google user,5,2025-10-02 16:59:13,good luck 🍀,
