reviewId,userName,score,at,content,replyContent
c170462f-2287-4e84-bb48-d57c1adc476b,Christopher Murphy,1,2025-09-08 02:15:56,Good,
50175ac5-1ab8-473d-bdf1-25b24bdadb54,Megan Washington,1,2025-08-03 00:37:54,Waw so useful,
02597acc-35bb-4c7f-9e24-42ad0c85ce49,John Rivera,5,2025-02-12 21:41:42,Router agadi basera khelda Pani ping fluctuate hunxa never use worldlink wifi if you wanna be pro in games,
44a69678-200a-417f-8e05-8517e8f4a3d3,Jonathan Garner,4,2025-07-01 05:29:38,very poor net,
1378ae3c-8d18-4334-84a4-339d3b119a29,Rachel Perez,1,2025-02-05 23:57:40,Can't provide a new router even when installing new connection Very bad service provider,
35584cd7-9059-4f9b-b06a-9c900f5112c5,Renee Turner,1,2025-02-02 04:11:16,This app doesn't open sometime and after putting the number also it bugss lol you should code it!,
205506d6-5972-438f-b5a0-619e59240cb2,April Rivas,1,2025-04-11 18:52:10,Name chai chito vanekai worldlink speed chai kaxuwa vanda ni slow xa😂😂😂😂😂😂,
883a9736-0b6e-49ee-bcd6-bf6bf69d4c6c,Joshua Walsh,1,2025-01-01 08:59:37,it takes tooo much time to open .... so 3 star another wise 5 star,
38109287-9efd-41ec-a785-1bf5deca1310,Brooke Gutierrez,1,2024-12-14 11:48:00,Very very bad service ek dam slow xa and service nii ramro xoina very disspointment very bad,
90d379bb-c977-44cf-84b0-70435b845cfb,Joseph Barber,1,2025-05-29 21:37:37,DONT USE WORLDLINK AT ALL. WORST SERVICE IN NEPAL. AND THIS APP.... EVEN I CAN DESIGN BETTER AND FUNCTIONAL APP THAN THIS THING.,
c37afba6-0637-469b-8cfd-9289a7e20009,Steven Turner,5,2024-12-25 15:15:54,Its one of good internet company in Nepal.,
021c633a-f5bc-4906-bd94-c3d80dd8cd70,Mary Arnold,1,2025-07-09 16:00:22,Nice aap,
599b79d9-01d8-40eb-9654-6be88b807d84,Tina Ingram,1,2024-12-29 10:30:08,Easy,
f9b7480a-67ab-4c3c-8e51-7a21ab10c355,Sean Wilkins,1,2025-03-17 08:01:56,Nice,
513096a7-156f-40d4-91f4-126d175845c4,Samuel Moore,5,2025-03-25 09:02:48,Good service,
a738555f-df33-400e-b558-5c0110168716,Amber Williamson,1,2025-08-25 09:49:24,Show the detail of installation date,
86dbc9a0-6989-4356-99fd-8059ac1e6d9b,Michael Morales,4,2025-01-19 19:38:01,wifi on garda ni on huna ferri mero phone ma chai connected xa aaru ko ma chai ralink nai dekhako xa k ho yesto,
7e75934c-6343-4c05-a962-6e2f8606d245,Mary Johnson,1,2025-02-03 02:41:18,Why can't I use the device filtering properly there's always some errors when i put some devices on the filtering,
2f40ad14-097b-4509-ad72-22aca42e449c,Joseph Thomas,1,2025-02-17 19:56:46,Excellent,
62fc6b28-c0c1-4269-ae60-2d833a599d9e,Nicole Jones,1,2025-01-31 15:59:42,Very Comfortable to use this App. We can directly contact with Coustomer care services for ours problems within a day and been solved ours problems. Lots of choices 😁😊😊 in this app. #tokenservice etc...,
d578e6d5-803c-4e9c-8db3-e3e2eca0f896,William Tucker,4,2025-07-18 06:10:58,Very much poor network Chito vanekai wink vannah suhauney banaunu pryo net lai paila ane ballah vannah milxa yesto dialogue haru,
ef573960-3da9-4647-a27e-9c865ed0b37d,Elizabeth Haley,1,2025-08-09 17:04:28,Worst isp... wack customer service,
02353adb-736b-4f7b-a8de-d25aa2b81b7a,Mrs. Sonya Logan,5,2025-04-03 06:34:38,device filter is not working,
c9bb6958-67ae-4231-a109-0f2dd063c2f8,Donna Herrera,5,2025-02-12 12:40:48,Frustating game,
fa34105c-2ca8-4c9c-9894-84d46113357c,Steven Miller,3,2025-03-07 02:33:39,Doesnot send otp to phone. Update your application. Or recheck whether it is sending otp or not.,
0ce04189-ceeb-42a1-9816-3d49abe973a8,Carlos Diaz,5,2025-05-24 19:21:41,Worst app,
109e9f8c-a7be-46d4-842b-6cedc5a1e3e2,Chris Khan,1,2025-02-06 21:03:45,Fast network is worldlink is fake.,
fc06db64-6f7a-4d96-bc12-6725a86b8e4c,Gregory Williams,2,2025-07-28 01:12:15,khattam xa,
ceb8c992-d022-43bf-ad2f-d58b05549a4c,Kimberly Wilkerson MD,1,2025-07-29 23:05:55,Parental Control for Laptop is almost no need. Mobile Devices should be added.,
13b8edfb-35a5-4bf6-84c7-1d41d2b03e8c,Patricia Martin,2,2025-03-29 19:05:56,Awful app,
699e1777-3773-4a91-920a-12a93813444a,Adam White,5,2025-02-06 00:12:31,Nice v nice,
